,test_loss,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,count
_total,0.5039685964584351,0.6981305829266047,0.5479951397326853,0.26251455180442373,0.354978354978355,0.7087186304029087,0.1912811714701756,0.0,0.02501705051025499,0.21629822198043058,0.5811427669435698,0.6832120821438438,0.16666666666666666,0.0002910360884749709,0.0005810575246949448,0.47179794434345507,0.30272571800723663,0.08699367118664042,0.0005661751598343701,0.21629822198043058,0.49980872698940787,0.5200294686435215,0.3802265983274885,0.820430733410943,0.5196313364055299,0.6133086651202246,0.3016874464646343,0.09525392435811372,0.009864699873910004,0.21629822198043058,0.6007043873170841,0.7398471314117322,0.6204178163184864,0.4580908032596042,0.5270383391930352,0.7802133138091233,0.1689425235403715,0.002291794626449628,0.0496474930665087,0.21629822198043058,0.6641794444696243,177.688,61.113,7.643,10859
abstract_narrative_understanding,0.7429606914520264,0.6634146341463415,0.0,0.0,0.0,0.5,0.22329565734681733,0.0,0.0,0.22329565734681733,0.5,0.6634146341463415,0.0,0.0,0.0,0.5763000852514919,0.3273568665772037,0.12552339010654923,0.021462180876162862,0.22329565734681733,0.5,0.45365853658536587,0.3727810650887574,0.9130434782608695,0.5294117647058824,0.7008738277919863,0.3883044803042009,0.20252210064966072,0.037513277692277164,0.22329565734681733,0.5668158567774936,0.6634146341463415,0.0,0.0,0.0,0.47612958226768964,0.2570136480172894,0.0407445512603872,0.0070265605899151595,0.22329565734681733,0.5,2.9007,70.672,8.963,205
anachronisms,0.6950889229774475,0.5434782608695652,0.0,0.0,0.0,0.5,0.24810964083175802,0.0,0.0,0.24810964083175802,0.5,0.5434782608695652,0.0,0.0,0.0,0.6171428571428571,0.4271471051389192,0.2152552831927494,0.03621781888558823,0.24810964083175802,0.5,0.45652173913043476,0.45652173913043476,1.0,0.626865671641791,0.49142857142857144,0.4107323636400896,0.19391314167212617,0.031290418863794606,0.24810964083175802,0.5,0.5217391304347826,0.48,0.5714285714285714,0.5217391304347826,0.579047619047619,0.24930408672732787,0.01995626064037126,0.018761814744801403,0.24810964083175802,0.5257142857142857,0.6647,69.205,9.027,46
analogical_similarity,0.7161937952041626,0.7230769230769231,0.0,0.0,0.0,0.5,0.20023668639053252,0.0,0.0,0.20023668639053252,0.5,0.7230769230769231,0.0,0.0,0.0,0.5768321513002365,0.2732990463362617,0.09503192883837497,0.021969568892645813,0.20023668639053252,0.5,0.47692307692307695,0.3333333333333333,0.8888888888888888,0.48484848484848486,0.6430260047281324,0.3413811596193233,0.1614534804608749,0.02030900723208412,0.20023668639053252,0.6040189125295508,0.7230769230769231,0.0,0.0,0.0,0.5277777777777778,0.2319629833612753,0.031726296970742585,-1.942890293094024e-16,0.20023668639053252,0.5,0.9432,68.916,9.542,65
analytic_entailment,0.4843795597553253,0.6428571428571429,0.0,0.0,0.0,0.5,0.2295918367346938,0.0,0.0,0.2295918367346938,0.5,0.6428571428571429,0.0,0.0,0.0,0.4,0.340333005012738,0.11176157644130938,0.0010204081632651796,0.2295918367346938,0.5,0.35714285714285715,0.35714285714285715,1.0,0.5263157894736842,0.5333333333333334,0.6427097710105826,0.44543085944595673,0.032312925170067924,0.2295918367346938,0.5,0.7142857142857143,0.6666666666666666,0.4,0.5,0.8444444444444446,0.16295204657499726,0.055809189432140124,0.12244897959183666,0.2295918367346938,0.6444444444444444,0.2249,62.242,8.892,14
arithmetic,0.7264823317527771,0.8232323232323232,0.0,0.0,0.0,0.5,0.14552086521783492,0.0,0.0,0.14552086521783492,0.5,0.8232323232323232,0.0,0.0,0.0,0.6652059596844873,0.1500293659520194,0.018900458178617935,0.014391957444433445,0.14552086521783492,0.5,0.7777777777777778,0.3333333333333333,0.2571428571428571,0.2903225806451613,0.6646801051709027,0.17800550720609212,0.04600867924309629,0.013524037254839083,0.14552086521783492,0.5733567046450482,0.797979797979798,0.3333333333333333,0.14285714285714285,0.2,0.5065731814198072,0.17439954850779243,0.03691458813856294,0.008035904848605419,0.14552086521783492,0.5407537248028046,2.7552,71.865,9.074,198
authorship_verification,0.6780135631561279,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.24987086776859507,0.0,0.0,0.24987086776859507,0.5,0.48863636363636365,0.0,0.0,0.0,0.5,0.5113636363636364,0.2614927685950413,0.0,0.24987086776859507,0.5,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.48863636363636365,0.23876549586776857,0.0,0.24987086776859507,0.5,0.5738636363636364,0.546583850931677,0.9777777777777777,0.701195219123506,0.6597545219638243,0.24250162122844213,0.029469622392363393,0.03683886893251634,0.24987086776859507,0.564470284237726,2.5156,69.963,8.745,176
bbq_lite_json,0.4489061236381531,0.7524752475247525,0.0,0.0,0.0,0.5,0.18625624938731497,0.0,0.0,0.18625624938731497,0.5,0.6237623762376238,0.26785714285714285,0.3,0.2830188679245283,0.5142105263157895,0.2366216466150098,0.05272090615486341,0.0023555089271685703,0.18625624938731497,0.5151315789473684,0.24257425742574257,0.24120603015075376,0.96,0.38554216867469876,0.5573684210526315,0.41093606625201395,0.23118910437287976,0.006509287508180778,0.18625624938731497,0.4832894736842105,0.7623762376237624,0.5416666666666666,0.26,0.35135135135135137,0.8101315789473684,0.1484151526833118,0.008418726201198629,0.04625982290520181,0.18625624938731497,0.5938157894736842,2.8315,71.341,9.183,202
causal_judgment,0.7331547737121582,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.5,0.24930747922437677,0.0,0.0,0.24930747922437677,0.5,0.47368421052631576,0.0,0.0,0.0,0.5277777777777778,0.28306564886162794,0.06569722780899631,0.03193905817174514,0.24930747922437677,0.5,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.6944444444444444,0.2438538436980876,0.06421243247772901,0.06966606800401817,0.24930747922437677,0.5,0.47368421052631576,0.5,0.5,0.5,0.4041666666666667,0.2691067824241527,0.02211974962476182,0.0023204464249858836,0.24930747922437677,0.4722222222222222,0.5582,68.077,8.957,38
cause_and_effect,0.7505213618278503,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.5,0.24765868886576475,0.0,0.0,0.24765868886576475,0.5,0.41935483870967744,0.0,0.0,0.0,0.21428571428571427,0.5362551582331515,0.28859646936738675,0.0,0.24765868886576475,0.4642857142857143,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.773109243697479,0.3046221194834958,0.15799455350109115,0.10103112288336008,0.24765868886576475,0.5,0.6774193548387096,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.5735294117647058,0.27226259035613604,0.07098250843089268,0.0463786069405214,0.24765868886576475,0.6680672268907563,0.4528,68.465,8.834,31
